128  0.138834     	    113953     	2.03491e+07
129  0.138834     	   18953.2     	3.36453e+06
130  0.138834     	   18742.3     	3.36453e+06
131  0.138834     	   18662.5     	3.36453e+06
132  0.138834     	    351370     	5.88472e+07
133  0.138834     	    335967     	5.88472e+07
134  0.138834     	    323854     	5.88472e+07
135  0.138834     	    121535     	2.00124e+07
136  0.138834     	1.05532e+07     	1.73938e+09
137  0.138834     	2.24268e+08     	4.02577e+10
138  0.138834     	4.37042e+08     	4.23432e+10
139  0.138834     	7.13131e+06     	1.35458e+09
140  0.138834     	2.38169e+06     	4.54237e+08
141  0.138834     	2.37058e+06     	4.54237e+08
142  0.138834     	2.35615e+06     	4.54237e+08
143  0.138834     	    598504     	1.16035e+08
144  0.138834     	   12669.1     	2.40718e+06
145  0.138834     	   17332.1     	2.40718e+06
146  0.138834     	   40470.1     	7.78037e+06
147  0.138834     	   94262.4     	1.07518e+07
148  0.138834     	   97125.6     	1.07518e+07
149  0.138834     	   44529.3     	  8.44e+06
150  0.138834     	   3304.94     	    254590
151  0.138834     	   4686.35     	    321906
152  0.138834     	   4564.37     	    321906
153  0.138834     	   1685.12     	    192664
154  0.138834     	   146.254     	   6195.88
155  0.138834     	   87.1794     	   4408.48
156  0.138274     	   97.5571     	   4828.85
157  0.138274     	   143.934     	   7815.94
158  0.138274     	   113.943     	   7815.94
159  0.138274     	   185.949     	   15167.3
160  0.138274     	   195.815     	   15167.3
161  0.138274     	   66.6984     	   2154.91
162  0.138274     	   52.4485     	   1686.61
163  0.138274     	   48.4739     	   1686.61
164  0.138274     	   83.1332     	   6460.43
165  0.138274     	   57.4683     	    4256.6
166  0.138274     	   50.4819     	    4256.6
167  0.138274     	   51.4227     	    4256.6
168  0.138274     	   30.3021     	   581.137
169  0.138274     	   34.3298     	   581.137
170  0.138274     	   30.6481     	   581.137
171  0.138274     	   31.7136     	    578.47
172  0.138274     	   70.9651     	   4878.96
173  0.138274     	   48.0671     	   4878.96
174  0.138274     	   54.6983     	    4514.4
175  0.138274     	   31.0057     	   713.211
176  0.138274     	   34.3304     	   1128.75
177  0.138274     	   41.1567     	   1224.94
178  0.138274     	    32.959     	   1233.96
179  0.138274     	   72.0005     	   4781.66
180  0.138274     	   56.6112     	   2900.86
181  0.138274     	   57.8301     	   1868.24
182  0.138274     	   171.773     	   13052.3
183  0.138274     	   92.6334     	   4641.35
184  0.138274     	   138.968     	   8542.72
185  0.138274     	   157.307     	   8542.72
186  0.138274     	   150.953     	   8542.72
187  0.138274     	   200.039     	   20687.1
188  0.138274     	   115.913     	   4469.29
189  0.138274     	   189.277     	   8940.19
190  0.138274     	   151.553     	    6090.7
191  0.138274     	   115.401     	    6090.7
192  0.138274     	   73.5238     	   4218.04
193  0.138274     	   77.1625     	   4218.04
194  0.138274     	   210.435     	   30526.3
195  0.138274     	   117.317     	    6090.7
196  0.138274     	   50.8241     	   4182.09
197  0.138274     	   58.7229     	   3125.31
198  0.138274     	   27.5859     	   523.584
199  0.138274     	   26.6768     	   523.925
200  0.138274     	   41.2801     	   2317.35
201  0.138274     	   39.9743     	   2317.35
202  0.138274     	    28.115     	   717.235
203  0.138274     	   30.6534     	   677.049
204  0.138274     	   25.7937     	   576.829
205  0.138274     	   37.7368     	   1262.87
206  0.138274     	   41.5717     	    1325.7
207  0.138274     	   34.8077     	    1325.7
208  0.138255     	   25.8825     	   735.556
209  0.138255     	   24.1107     	   550.769
210  0.138255     	   31.5788     	   841.402
211  0.138255     	   71.7951     	   4265.96
212  0.138255     	   53.2607     	   1839.35
213  0.138255     	   29.6486     	    895.09
214  0.138255     	   231.034     	   39003.9
215  0.138255     	   46.8155     	   2070.28
216  0.138255     	   41.6045     	   1259.71
217  0.138255     	   32.3253     	   800.801
218  0.138255     	   34.6028     	   1128.65
219  0.138255     	   33.1075     	   1128.71
220  0.138255     	   61.8327     	   4524.87
221  0.138255     	   58.4333     	   4599.05
222  0.138255     	   34.0377     	    1648.6
223  0.138255     	   25.0192     	   1128.77
224  0.138255     	   31.6378     	   1128.77
225  0.138255     	   28.5065     	   1111.67
226  0.138255     	   26.3408     	   1111.67
227  0.138255     	   23.6511     	   853.995
228  0.138255     	   25.1133     	   853.995
229  0.138255     	   110.967     	   17905.4
230  0.138255     	   14.4238     	   255.031
231  0.138255     	   23.4637     	   838.679
232  0.138255     	   71.8636     	   4528.76
233  0.138255     	   62.9654     	   4524.87
234  0.138255     	   109.366     	   5812.23
235  0.138255     	   72.8836     	   4524.89
236  0.138255     	    72.015     	   4524.89
237  0.138255     	   30.1237     	    1157.8
238  0.138255     	   24.4492     	   788.124
239  0.138255     	   24.2443     	   788.124
240  0.138255     	   30.2502     	   2317.36
241  0.138255     	   48.8612     	   2317.36
242  0.138255     	   71.7224     	   4524.87
243  0.138255     	   41.1865     	   2583.87
244  0.138255     	   36.6876     	   2583.87
245  0.138255     	   49.8264     	   2595.99
246  0.138255     	   54.6124     	   2595.99
247  0.138255     	   56.8641     	   4524.87
248  0.138255     	   175.775     	     19445
249  0.138255     	   34.2746     	   652.009
250  0.138255     	   23.4034     	   399.961
251  0.138255     	   22.9678     	   399.961
252  0.138255     	   25.0199     	    384.02
253  0.138255     	   106.403     	   10255.3
254  0.138255     	   81.1091     	    8579.7
255  0.138255     	   37.8017     	   3010.16
256  0.138255     	   19.7777     	   209.525
257  0.138255     	   21.6483     	   209.525
258  0.138255     	   28.3682     	   1374.12
259  0.138255     	   43.1857     	    1567.4
260  0.138255     	   45.3279     	   4997.81
261  0.138255     	   42.7609     	   4997.71
262  0.138255     	   21.3331     	   562.668
263  0.138255     	   53.6225     	    4581.2
264  0.138255     	   31.6474     	   2312.76
265  0.138255     	   22.5736     	   350.779
266  0.138255     	   26.1011     	   1196.63
267  0.138255     	    29.308     	   590.331
268  0.138255     	   24.9665     	   590.331
269  0.138255     	   23.9833     	   580.936
270  0.138255     	   37.8651     	   835.198
271  0.138255     	   31.9212     	   590.572
272  0.138255     	   26.5659     	   581.721
273  0.138255     	   24.7339     	   365.225
274  0.138255     	     24.46     	   365.225
275  0.138255     	   25.0323     	   618.389
276  0.138255     	   30.9572     	    729.09
277  0.138255     	   29.5294     	   541.687
278  0.138255     	   22.9364     	   289.369
279  0.138255     	   49.1958     	   4529.03
280  0.138255     	   24.4288     	   588.277
281  0.138255     	   24.2487     	   508.803
282  0.138255     	   24.0807     	   311.629
283  0.138255     	   25.0228     	   526.129
284  0.138255     	     44.95     	   2811.54
285  0.138255     	   104.637     	   6607.11
286  0.138255     	   68.8878     	   2987.88
287  0.138255     	   59.1235     	   4208.23
288  0.138255     	    38.786     	   1421.29
289  0.138255     	   62.2668     	   5132.38
290  0.138255     	   62.3383     	   3102.92
291  0.138255     	   64.5847     	   2967.07
292  0.138255     	   41.1291     	   786.264
293  0.138255     	   39.0909     	   880.139
294  0.138255     	    36.285     	   843.099
295  0.138255     	   29.8811     	   542.875
296  0.138255     	   27.1785     	   542.875
297  0.138255     	   23.2078     	   535.539
298  0.138255     	   29.0604     	   524.881
299  0.138255     	   28.8333     	   491.348
