Ind. max size:   7
Init. pop. size: 50
Max. pop. size:  100
Tournament size: 2
Max. num. gen.:  250
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
169   0.357756    57.2072    1728.83
170   0.357756    61.3382    1820.78
171   0.357721    68.9114    2718.92
172   0.352511    130.151    8348.86
173   0.351582    70.3236     2786.2
174    0.35091    208.654    14754.3
175   0.350477    168.225    10361.1
176   0.350477     79.246    2964.89
177   0.345697    133.533    7955.78
178    0.34536    105.868    4804.03
179   0.338263    83.6476    2681.71
180   0.337407    77.3712    2337.27
181   0.335852    82.2073    3331.02
182   0.335717    86.2096    3111.75
183    0.33551    83.8408    2826.64
184   0.335435    257.142    21735.4
185   0.334868    94.9273    5064.22
186   0.334658     84.724    3340.93
187   0.334658    100.644    4443.12
188   0.331047    76.4447    2423.04
189   0.330918    72.3745    2072.25
190   0.330918     75.136    2465.13
191   0.330918    104.518    4684.92
192    0.33055    85.5104    2538.95
193   0.330529    83.3669    2995.77
194   0.325546    63.9923    2110.53
195   0.325546    98.0337    4125.87
196   0.324907    78.9476    3193.32
197   0.324906    115.552    5735.11
198   0.324022    157.678    7403.77
199   0.323592    163.349    8362.74
200   0.323592    74.2155    2772.17
201   0.322475    77.6004    3617.62
202   0.322474    251.524    20302.7
203   0.321529    116.102    6173.12
204   0.321529    86.1219    3291.25
205   0.321529    231.402    17636.1
206   0.320436    127.948    5394.91
207   0.311755    257.984    18985.1
208   0.311103    94.3453    3017.75
209   0.311103    117.042    6374.45
210   0.310917    223.199    15148.3
211   0.303503    114.331    4141.56
212   0.303503    94.7213    4171.72
213   0.302292    65.7232    1965.68
214   0.302109    68.1419    2770.85
215   0.302038    68.2552    2587.43
216   0.301306    90.2555    4910.68
217   0.301306    63.7329    2327.01
218    0.30091    82.3875    3807.75
219    0.30091    80.1882    2814.31
220   0.298061    74.6643    2053.08
221   0.292163    69.9029    2115.43
222   0.292162    99.0141    5186.76
223   0.292162    172.965    11476.5
224   0.281805    171.584    6272.85
225   0.281805    96.0674    4669.28
226   0.281503    108.678    3924.25
227   0.281148    104.545     5990.3
228   0.281148     83.995    3199.53
229   0.281018    72.7764    3025.78
230   0.279145    59.1143    2008.56
231    0.27863    53.7427    1490.73
232   0.278419    170.206    12137.9
233   0.278419    68.1293    2790.59
234   0.278418    89.9594     4202.3
235   0.277022    87.2142    3694.88
236   0.276803    159.554    7342.34
237   0.276801    116.183     5597.4
238   0.276637    99.3453    3563.03
239   0.274019    247.369    18976.5
240   0.269144    116.173    5049.72
241    0.26689    114.843    4561.22
242    0.26689    174.348    11616.9
243    0.26689    93.9832    4484.66
244   0.265243    81.1935    2909.37
245   0.265243    101.964    4269.04
246   0.265243    91.8182    3432.25
247   0.265243    99.1759    3368.56
248   0.265243     134.72    6510.82
249   0.265243    821.854    55408.3
