Ind. max size:   4
Init. pop. size: 30
Max. pop. size:  100
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.9
Mutation rate:   0.3
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
164   0.482707     77.722    2654.25
165   0.482457     96.038    3226.54
166   0.482032    78.5738    3095.59
167   0.479791    63.7381     2348.7
168   0.478911     62.264    1938.28
169   0.478909    62.6213    1941.75
170   0.476845    69.5453    2358.32
171   0.476393    64.7122    2023.73
172    0.47639    72.3844    2821.63
173    0.47639     63.769    2313.99
174   0.475552    76.3711    2882.17
175   0.474935    63.3843    2424.27
176   0.474844    66.2641    2907.29
177   0.474211    56.1307    2161.82
178   0.474165    66.3361    2323.07
179   0.465884    70.3422    2586.23
180   0.464793      61.21    2291.08
181   0.462255    56.8179    1831.67
182   0.462077    57.4728    1912.75
183   0.457951    47.4035    1531.86
184   0.451421    51.9662    1737.23
185   0.451179    40.7862    1293.66
186   0.437081    60.3098     2313.4
187   0.437081    45.3999    1499.58
188   0.436737    40.1009    1110.65
189   0.436617    53.6098    1991.06
190   0.431617    61.2537    2809.29
191   0.428469    57.5269    2211.82
192   0.428265    69.4659    3150.54
193   0.428265    62.9066    1943.07
194   0.428265    69.0428    2118.23
195   0.427977    68.0723    2317.98
196   0.427402    65.7815    2089.39
197    0.42661    61.9096    2509.75
198   0.421543    63.3001    2292.34
199    0.42113    83.8944    4648.59
200   0.421071    72.5084    3151.03
201   0.421071    55.0858     1793.8
202   0.417822    56.8957     1831.3
203   0.417822    52.1219    1731.63
204   0.417822    75.0922    3107.38
205   0.417822    60.1415    2210.49
206   0.417822    73.6279    2532.32
207   0.417822    81.7035    3735.67
208   0.417822    55.8696    1977.93
209   0.417822     89.219     4356.6
210   0.417822    74.1182    2537.86
211   0.417822    90.1167    4054.75
212   0.416776    212.998    16828.7
213   0.414419    72.4316    2283.24
214   0.414419    48.0293    1536.78
215   0.413101    63.5846    2840.47
216   0.413101    44.0206    1412.66
217   0.413101    57.0101    2096.84
218    0.41301    58.8565    2174.69
219   0.411672    55.5672    2149.13
220   0.411626    55.3585    1937.12
221   0.411626    78.0532    3764.56
222   0.411626    61.2262    2333.71
223   0.411626    58.9776     1880.3
224   0.411626    69.4224    3054.94
225   0.411626     65.832    2570.66
226   0.411626    76.2504    2915.26
227   0.411558    110.582    6418.99
228   0.409987    62.7924    2318.57
229   0.409933    78.7039    3383.45
230   0.408381    59.9111    1967.35
231   0.408255     66.601     2267.2
232   0.403185     77.837    3887.57
233   0.403185    75.5554    3225.58
234   0.403185    81.2823    4634.81
235   0.402998    55.0519    1968.55
236   0.402998    337.134    16411.2
237   0.402064    142.141    10887.4
238   0.401164    62.2215    2901.49
239    0.39595    58.0149    1943.16
240   0.395899     71.947    3022.97
241   0.394335    68.2995    1936.84
242   0.391409    81.1251    3898.41
243   0.391409    58.3049    1888.46
244   0.391344    66.9016    2693.95
245   0.391285    63.1728    2270.58
246   0.391285    70.5225    2639.65
247   0.391277    80.7714    3418.79
248   0.386714    113.462    6837.53
249   0.386294    78.4428    3133.39
250   0.386294    73.8187    3009.56
251   0.386294    109.806     5629.3
252   0.385923     59.986    1757.29
253   0.385923     79.945    3147.59
254   0.385923    60.4643     2169.3
255   0.385914     46.806    1376.23
256   0.378791    81.7045    4224.84
257   0.376134    67.1148     2442.6
258   0.375619    61.7473    2276.74
259   0.375581    71.0096     2601.3
260   0.375581    83.0501    3171.72
261   0.372926    73.3197    2521.42
262   0.372018     70.867    2618.54
263   0.369771    104.162    4896.27
264   0.369505    82.9472    3593.63
265   0.369339     92.308    3850.88
266   0.369048    100.032    4818.84
267   0.369048    72.0975    2876.21
268   0.368955     64.844    2230.14
269   0.368698    91.3259    4969.31
270   0.368226    76.4448    3103.36
271   0.367205    60.9513    2568.88
272   0.367161    57.3262    1858.12
273    0.36711    76.0317    2754.31
274    0.36711     89.702    3727.21
275   0.366916    73.7883    3289.17
276   0.366916    62.1669    2259.35
277   0.366916    65.7711    2364.41
278   0.366916    72.2382    2679.06
279   0.366916    73.8752    2743.83
280   0.366872    64.8532    2521.36
281   0.366872    75.0929    2709.81
282   0.366861    68.0375    2096.15
283   0.366861    71.9707    3049.71
284   0.366861    65.5266    2742.66
285   0.366861    62.9019    2279.64
286   0.366861    54.6327    1997.58
287   0.366861     72.571    2950.97
288   0.366861    63.5336    2046.47
289   0.366861    59.6633    2159.55
290   0.366861    61.7853    1914.55
291   0.366861    78.0015    3517.88
292   0.366756    74.4272    2789.81
293    0.36657    54.3144    1814.38
294   0.366548    58.4311    2102.05
295   0.366548     88.396    3792.05
296    0.36652    99.3673    4530.17
297   0.366214    71.9666    2934.13
298   0.366214    72.7027    2953.69
299   0.366181    80.2944    3485.72
