0    654501     	    654513     	    654534
1    654501     	    654511     	    654534
2    654501     	    654512     	    654534
3    654501     	    654511     	    654518
4    654487     	    654509     	    654518
5    654487     	    654510     	    654518
6    654469     	    654504     	    654518
7    654469     	    654505     	    654521
8    654469     	    654511     	    654552
9    654469     	    654504     	    654522
10    654469     	    654505     	    654519
11    654183     	    654470     	    654516
12    654183     	    654456     	    654515
13    654174     	    654441     	    654521
14    654174     	    654423     	    654515
15    654174     	    654441     	    654854
16    652427     	    654219     	    654521
17    642335     	    653045     	    654515
18    585139     	    646384     	    654515
19    585139     	    646382     	    654516
20    585139     	    647072     	    654516
21    585139     	    643387     	    654515
22    585139     	    643321     	    654515
23    585139     	    645162     	    654515
24    585139     	    644258     	    654515
25    585139     	    642548     	    654515
26    585139     	    644113     	    672753
27    585139     	    642202     	    654515
28    585139     	    639827     	    654515
29    585139     	    639940     	    654515
30    585129     	    635347     	    654515
31    585129     	    647070     	    654515
32    585129     	    645220     	    654515
33    585129     	    642782     	    654516
34    585129     	    645545     	    654515
35    585129     	    645373     	    654515
36    585129     	    646798     	    654515
37    585129     	    646983     	    654515
38    585129     	    643446     	    654515
39    585129     	    641024     	    654515
40    585129     	    637371     	    654515
41    585129     	    639047     	    654515
42    585129     	    646281     	    654516
43    585129     	    646373     	    654515
44    585129     	    645668     	    654516
45    585129     	    642914     	    654515
46    585129     	    643480     	    654516
47    585129     	    646941     	    654515
48    585129     	    646897     	    654515
49    585129     	    645972     	    654515
50    585129     	    643104     	    654515
51    585129     	    639635     	    654515
52    585129     	    642248     	    654515
53    585129     	    646151     	    654516
54    522535     	    629605     	    654516
55    522535     	    629443     	    654515
56    522535     	    629041     	    654522
57    522535     	    629063     	    654554
58    342883     	    613386     	    654515
59    342883     	    602031     	    654515
60    342883     	    607686     	    654516
61    274254     	    589916     	    654515
62    274254     	    570515     	    654515
63    274254     	    607356     	    654519
64    274254     	    602998     	    654515
65    274254     	    609942     	    654515
66    274254     	    613227     	    654515
67    274254     	    598737     	    654515
68    274254     	    612906     	    654515
69    274254     	    594241     	    654519
70    264866     	    576229     	    654515
71    264866     	    552665     	    654515
72    264866     	    532047     	    654515
73    264866     	    595517     	    654515
74    264866     	    601599     	    654514
75    264866     	    625228     	    982712
76    264866     	    591602     	    654527
77    264866     	    615635     	    702481
78    264866     	    611659     	    654527
79    264866     	    594422     	    654528
80    264866     	    573915     	    654515
81    264866     	    594640     	    654647
82    264866     	    589060     	    654517
83    264866     	    589651     	    654517
84    264866     	    596695     	    654841
85    264866     	    575881     	    654515
86    264866     	    596422     	    654516
87    264866     	    576937     	    654515
88    259411     	    571779     	    654515
89    259411     	    567354     	    654514
90    259411     	    584840     	    654515
91    259411     	    577330     	    654515
92    259411     	    582296     	    654515
93    259411     	    590104     	    654515
94    259411     	    576031     	    654515
95    259411     	1.06287e+08     	2.00886e+09
96    259411     	    571270     	    654515
97    259411     	    570905     	    654515
98    259411     	    590987     	    654516
99    259411     	    587115     	    654515
