./tp1 datasets/house-train.csv datasets/house-test.csv
Ind. max size:   3
Init. pop. size: 10
Max. pop. size:  15
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.6
Mutation rate:   0.4
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
202     290609     521344     693845
203     290571     555549 1.16036e+06
204     290446     630947 2.07552e+06
205     290371     571901 1.34827e+06
206     290368     597933 1.74967e+06
207     290255     573616 1.26963e+06
208     290215     968173 6.88346e+06
209     290046     529459     826852
210     289641     871715 5.57657e+06
211     289633     587927 1.61457e+06
212     289626     651784 2.5102e+06
213     289588     612703 1.43561e+06
214     289588     905922 5.5421e+06
215     289586     562311 1.2256e+06
216     289504     601126 1.88748e+06
217     289325     684132 3.01948e+06
218     289324 1.85826e+06 1.84223e+07
219     289316     626770 1.96684e+06
220     289299     595306 1.53663e+06
221     289109     595492 1.53711e+06
222     289042     688272 2.89262e+06
223     289009     924736 6.26048e+06
224     289008     533358     797996
225     289008     537891     875171
226     289007     530573     778801
227     289007 1.05465e+06 7.87117e+06
228     289005     539966     962152
229     289003     530188     821073
230     288980     617388 2.00159e+06
231     288972     515449     640881
232     288958 1.02779e+06 7.7132e+06
233     288527     549382     942890
234     288527     550157 1.09166e+06
235     288527 4.51986e+06 5.66209e+07
236     288526     578633 1.48459e+06
237     288521     668460 2.68244e+06
238     287761     520379     680815
239     287055 1.27869e+06 1.13038e+07
240     287051 1.60296e+06 1.54413e+07
241     287051     873765 5.02794e+06
242     287029     905711 5.95055e+06
243     287002 1.31509e+06 1.17738e+07
244     287002 1.45921e+07 1.97602e+08
245     287000     527447     773077
246     286705     913447 6.26426e+06
247     286264     630969 2.35184e+06
248     286263     516129     760758
249     286256     584016 1.72934e+06
250     284141     627320 1.63205e+06
251     283811     767340 3.36597e+06
252     283811     571501 1.53227e+06
253     283755     513780     872894
254     283751     501141     685685
255     283402 1.56837e+06 1.54234e+07
256     283357  1.537e+06 1.4728e+07
257     283318     807949 4.79381e+06
258     283287     611323 2.07764e+06
259     282652     538838 1.08451e+06
260     282640     494954     627156
261     282626 2.34753e+07 3.22172e+08
262     282617 7.31096e+06 9.59176e+07
263     282549     862426 3.88591e+06
264     282495     626935 2.37759e+06
265     282482     827000 5.07544e+06
266     282482     647365 2.51244e+06
267     282481     615866 2.20098e+06
268     282436     525411     848743
269     282425     507233     651518
270     282425     599772 1.7432e+06
271     282407     879469 5.76135e+06
272     282232     875430 5.46116e+06
273     282159     815891 4.76337e+06
274     282152     542799     952542
275     282102     565551 1.1406e+06
276     282091 1.19592e+06 1.01402e+07
277     282082     792852 4.54814e+06
278     282059     527401     857646
279     282053     506944     679195
280     281925 1.14224e+06 9.54021e+06
281     281924     781962 4.44569e+06
282     281788     598690 1.95945e+06
283     281785     605703 2.05464e+06
284     281778     762787 4.15946e+06
285     281727     519147     837493
286     281516 1.3486e+07 1.81951e+08
287     281467     528359 1.0051e+06
288     281396     576449 1.64797e+06
289     281105     567045 1.48984e+06
290     281096 1.15029e+06 9.70395e+06
291     281093     516687     879046
292     281092     521609     886524
293     280935     531766     985839
294     280916     589220 1.73587e+06
295     280908     534334 1.01005e+06
296     280896     552448 1.19058e+06
297     280896 4.50722e+06 5.60857e+07
298     280717     544516 1.14803e+06
299     280685     513518     756373
