Ind. max size:   7
Init. pop. size: 50
Max. pop. size:  350
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    0.20316    6507.08     295587
1    0.16981     6122.3     293923
2   0.149598    6281.14     329988
3   0.124017    99077.8 5.34744e+06
4   0.111233    97636.9 5.36627e+06
5    0.10179    95855.4 5.35987e+06
6    0.09376    21321.6 1.19584e+06
7  0.0919497 1.11511e+06 6.46638e+07
8  0.0903941 1.09334e+06 6.45018e+07
9  0.0895216 1.17022e+06 7.02027e+07
10  0.0887162 1.15158e+06 7.02356e+07
11  0.0885792 1.13141e+06 7.01301e+07
12  0.0885792 1.06531e+06 6.71083e+07
13  0.0874154    44248.7 2.82962e+06
14   0.087158      45002 2.92059e+06
15  0.0865914    43698.8 2.8809e+06
16  0.0863863    42633.3 2.85456e+06
17  0.0861907     291608 1.98276e+07
18   0.086083     295290 2.03729e+07
19  0.0857582     294382 2.06029e+07
20  0.0857582    26302.3 1.8637e+06
21  0.0854591 1.85365e+06 1.3345e+08
22  0.0846274 8.15315e+06 5.95167e+08
23  0.0843047 2.51151e+08 1.85851e+10
24  0.0837863 2.84296e+06 2.13216e+08
25  0.0836007 2.1686e+06 1.64795e+08
26  0.0835821     396076 3.04907e+07
27  0.0834976 4.75573e+06 3.70918e+08
28  0.0828849 4.2606e+06 3.3656e+08
29  0.0827238 7.92845e+06 3.34552e+08
30  0.0818339 5.46115e+06 3.34494e+08
31  0.0811422 6.13746e+06 3.34779e+08
32  0.0809548 7.24406e+06 5.85425e+08
33  0.0801685  6.987e+06 5.86591e+08
34  0.0801139      50886 3.79015e+06
35  0.0801107    43727.5 3.4684e+06
36  0.0800388     232169 2.01909e+07
37  0.0793405     244933 2.15469e+07
38  0.0792496 2.91544e+07 2.59465e+09
39  0.0791427     216393 1.94162e+07
40   0.078988     175284 1.58913e+07
41  0.0789759     400008 3.67503e+07
42  0.0788119     556661 5.1767e+07
43  0.0784902     445743 4.18935e+07
44  0.0784902     328076 3.11539e+07
45  0.0779935     341123 3.27373e+07
46   0.077754     615201 5.96711e+07
47  0.0775982 1.4017e+08 1.37366e+10
48  0.0773198 1.38515e+08 1.3713e+10
49  0.0772654     165067 1.65035e+07
50  0.0772654     135722 1.36873e+07
51  0.0765283    28339.2 2.86257e+06
52  0.0760105    28421.4 2.88288e+06
53  0.0757852     348880 3.62739e+07
54  0.0748219     368106 3.86154e+07
55  0.0747648     428013 4.53314e+07
56  0.0742877 1.76708e+07 1.89066e+09
57  0.0736066 1.79742e+07 1.93142e+09
58  0.0735789 2.27563e+07 2.46076e+09
59  0.0732953 2.26399e+07 2.45616e+09
60  0.0730099 3.19479e+07 3.51005e+09
61  0.0725783 3.14023e+07 3.51692e+09
62  0.0720682 3.11164e+07 3.51593e+09
63  0.0718011 3.08004e+07 3.51103e+09
64  0.0718011 3.03393e+07 3.48892e+09
65  0.0717019 3.01654e+07 3.4989e+09
66  0.0716405 2.95931e+07 3.46228e+09
67  0.0709667 3.22707e+07 3.8079e+09
68  0.0705566 2.45465e+07  2.921e+09
69  0.0696211 2.44763e+07 2.93712e+09
70  0.0692078     435296 5.26285e+07
71  0.0692071     426617 5.18787e+07
72  0.0690337     295429 3.63316e+07
73  0.0682818     132202 1.63844e+07
74  0.0679035 1.41562e+06 1.76948e+08
75  0.0671093 1.55902e+06 1.96425e+08
76  0.0663136 1.07574e+07 1.36618e+09
77  0.0663117 1.64133e+07 2.08996e+09
78  0.0661525 1.51136e+07 1.94963e+09
79  0.0655429 1.02536e+07 1.33295e+09
80  0.0655429 1.04246e+07 1.33306e+09
81   0.065415 1.01142e+07 1.33507e+09
82  0.0652927 5.71578e+08 7.60198e+10
83  0.0647566 2.87849e+07 3.85716e+09
84  0.0637283 2.85446e+07 3.8535e+09
85  0.0635098 2.81939e+07 3.83436e+09
86  0.0635098 3.69295e+08 5.05933e+10
87    0.06222 3.08366e+08 4.25545e+10
88    0.06222 3.05907e+08 4.25209e+10
89  0.0619152 3.03721e+08 4.25209e+10
90  0.0614848 6.35404e+07 8.95727e+09
91  0.0614433 2.58798e+07 3.67488e+09
92  0.0613771 2.32919e+07 3.33071e+09
93  0.0613771 2.31318e+07 3.33096e+09
94  0.0606316 2.55162e+07 3.69983e+09
95  0.0600927 2.56981e+07 3.74989e+09
96  0.0595394 1.61035e+06 2.00889e+08
97   0.059112 1.61342e+06 2.02934e+08
98   0.059112 1.60234e+06 2.02916e+08
99  0.0591046 1.75319e+06 2.27146e+08
100  0.0591046 1.27509e+07 1.92533e+09
101  0.0586914     469659 7.13621e+07
102  0.0585892     454145 6.91553e+07
103   0.058345     451488 6.95024e+07
104  0.0575088     324659 5.02347e+07
105  0.0574247     338705 5.26421e+07
106  0.0569638     340377 5.34044e+07
107  0.0566974     343564 5.41356e+07
108  0.0566404     107804 1.68616e+07
109  0.0560097 1.26044e+08 2.01654e+10
110  0.0556909 6.82081e+06 1.08106e+09
111  0.0556495 6.5894e+06 1.06654e+09
112  0.0556495 6.4974e+06 1.05868e+09
113  0.0555248     724369 1.13724e+08
114   0.055511 1.17283e+06 1.8846e+08
